blocks,axes
"[[-9.999999999987256, 10.000000000000712, 9.601883643190266], [-5.42383763067651, 6.324540076770374, 3.8938925465985474]]","(1:1:6,)"
"[[-9.99999999998851, 10.000000000000977, 6.0400254709480246], [-2.5510122266667117, 2.6886073060425373, 2.2137411584757505]]","(1:1:6,)"
"[[-9.570151857185955, 10.000000000001249, 3.192490280380904], [-0.42302927605695806, 0.033884809044406466, 0.8907533442203651]]","(1:1:6,)"
"[[-4.529833212466939, 7.901190151380775, 1.0980825612101108], [0.8439133972416465, -1.6724556575806058, -0.055257941478284195]]","(1:1:6,)"
"[[-0.7793178364063303, 1.7781556027540353, -0.5728191678709417], [1.7516166549007637, -2.4913856463812416, -0.7899942515202613]]","(1:1:6,)"
"[[1.8653946555187935, -0.11867319119282463, -1.7441595541219734], [2.1095937976765153, -2.5188658962055444, -1.2749487006394287]]","(1:1:6,)"
"[[3.469583339033209, -2.026660082702246, -2.349872574437054], [2.0103174657464624, -1.8627538433358293, -1.6345869868915166]]","(1:1:6,)"
"[[4.43969669166483, -4.090457439852285, -2.764417821767196], [1.5462400659417992, -0.6390360260232391, -1.6173726374275603]]","(1:1:6,)"
"[[4.838877280800232, -5.257684004496856, -2.916723141900388], [1.1551452055981686, -0.7107501948760394, -1.4690382928411192]]","(1:1:6,)"
"[[4.884852972950558, -5.865266717390213, -2.719037583262309], [1.3102103044095594, -1.231073862319247, -1.0747770236543048]]","(1:1:6,)"
"[[4.544297805961899, -5.797743191548202, -2.5482351528039775], [1.205631192030601, -1.2899848896530157, -1.0051905604604916]]","(1:1:6,)"
"[[4.024262296157336, -5.385443022483783, -2.2907727245054645], [1.01098378691041, -1.1767322485539804, -0.8922748456817768]]","(1:1:6,)"
"[[3.570598737890195, -4.995762573340015, -1.9207200963646596], [0.929197024623735, -1.1937604460216098, -0.6897859513862917]]","(1:1:6,)"
"[[2.8745113734558436, -4.186068612565794, -1.5901555315260434], [0.6309222595742153, -0.8624393800497403, -0.539531538880214]]","(1:1:6,)"
"[[2.1970739714276037, -3.342059712241219, -1.264805695172277], [0.34171250645492124, -0.5141309878393407, -0.39188520076718386]]","(1:1:6,)"
"[[1.685678729892987, -2.5924115088039557, -0.9430018166513418], [0.17151516914107193, -0.1945562354256164, -0.2343239597256733]]","(1:1:6,)"
"[[1.10023526812015, -1.8145288218176034, -0.6581903424674509], [-0.07557637050608876, 0.11053534867067312, -0.10509119215366057]]","(1:1:6,)"
"[[0.6004570681200238, -1.128993906445627, -0.4113011674035427], [-0.2801291153080822, 0.36929724304674316, 0.005179803362121584]]","(1:1:6,)"
"[[0.21525728254797508, -0.5547808023261174, -0.20838816634593244], [-0.4182232823215601, 0.5889810295230006, 0.09403941273574762]]","(1:1:6,)"
"[[-0.12067121411656245, -0.07900556101622937, -0.030943958772884285], [-0.5402611339043647, 0.7329453574567003, 0.171751492930817]]","(1:1:6,)"
"[[-0.3728676707237208, 0.28671722986749915, 0.10765278512548192], [-0.6207601300167072, 0.8217267528554459, 0.23003932100355803]]","(1:1:6,)"
"[[-0.49799224737281494, 0.47891596851986434, 0.1995613902765454], [-0.667193565617815, 0.8089901778208883, 0.2605069873720307]]","(1:1:6,)"
"[[-0.6196015108703101, 0.6768502769753226, 0.27987330246871694], [-0.6747588346302741, 0.8244737290606439, 0.29173609555500923]]","(1:1:6,)"
"[[-0.6845675142182648, 0.7949895789127113, 0.33250873498773836], [-0.6542927642043682, 0.7998778110983913, 0.3091265420580885]]","(1:1:6,)"
"[[-0.7910950930914233, 0.9025856726725666, 0.3491757201577445], [-0.632132019832413, 0.8033547271598787, 0.302150625467924]]","(1:1:6,)"
"[[-0.7467069998666751, 0.8627473924474239, 0.3661061788679518], [-0.5586672974629824, 0.6577010329977634, 0.3035309318139966]]","(1:1:6,)"
"[[-0.6755366650425007, 0.7835186932107736, 0.3676952308006883], [-0.4722453479898682, 0.49217742252921687, 0.2972401999692285]]","(1:1:6,)"
"[[-0.48703983018579305, 0.672014487407342, 0.34517633541260057], [-0.348543984120418, 0.3356463153284156, 0.2720913255505816]]","(1:1:6,)"
"[[-0.43968264578589605, 0.6040603000272038, 0.33097765302120774], [-0.289857437820983, 0.30190984055518294, 0.2594655110902747]]","(1:1:6,)"
"[[-0.3852065078711181, 0.527117743862882, 0.3105285536702438], [-0.22761131139957652, 0.2635588719314405, 0.24371422699351447]]","(1:1:6,)"
"[[-0.32973484099824063, 0.4497381955881899, 0.2745493496496703], [-0.1648674204991685, 0.22486909779423045, 0.21362171431008226]]","(1:1:6,)"
"[[-0.2728217183399481, 0.37066661323123884, 0.25113250771752343], [-0.1364108591700143, 0.18533330661574537, 0.1976729266894384]]","(1:1:6,)"
"[[-0.21938498531907627, 0.296734779059409, 0.22664575663708048], [-0.10969249265957066, 0.1483673895298209, 0.18118898411368517]]","(1:1:6,)"
"[[-0.1689465737217807, 0.23308485746297652, 0.19646464907569222], [-0.08254629156590437, 0.11690031607498896, 0.15927546650075272]]","(1:1:6,)"
"[[-0.1259366545428945, 0.1734016868091915, 0.1741748023999577], [-0.061178451081015786, 0.08703009535470356, 0.14428421454204396]]","(1:1:6,)"
"[[-0.0893097782218697, 0.12260713809675625, 0.15301338672635156], [-0.04300221417465416, 0.061604657113933446, 0.12985702056261847]]","(1:1:6,)"
"[[-0.08892993504811299, 0.1212502099513576, 0.13267206766843503], [-0.05784560096961317, 0.0809451187057951, 0.11622094884066055]]","(1:1:6,)"
"[[-0.061635823578044265, 0.083666741987844, 0.11474421920308128], [-0.04321003789033173, 0.06072347409717768, 0.10325454285549521]]","(1:1:6,)"
"[[-0.03987017645422013, 0.05371590197572049, 0.09844139330402212], [-0.031343733716923367, 0.04431476361320665, 0.09110052449940768]]","(1:1:6,)"
"[[-0.03369686689366089, 0.044523086299500504, 0.08373478305962238], [-0.03169520717658788, 0.043865708783250495, 0.07974619745869091]]","(1:1:6,)"
"[[-0.020194150504718393, 0.026131532478507496, 0.07057467335940165], [-0.023848532478242722, 0.03315064622777573, 0.06915990115083338]]","(1:1:6,)"
"[[-0.010258886763258177, 0.012656019307982706, 0.05885362709440725], [-0.017790930339612487, 0.024889858181796582, 0.059293048377765355]]","(1:1:6,)"
"[[-0.003863869756661353, 0.0033196959042261355, 0.04869486608125183], [-0.012857050379939778, 0.017343011617209837, 0.050088392991759496]]","(1:1:6,)"
"[[0.0006653015999255824, -0.0026192350819868814, 0.03943979611045938], [-0.009786809512423928, 0.013270882608113828, 0.04151260812492203]]","(1:1:6,)"
"[[0.003396494242951891, -0.00608898604909788, 0.03132970858732693], [-0.007619439442563636, 0.01043058821531295, 0.03350926179464915]]","(1:1:6,)"
"[[0.008161661789374195, -0.01270806409707277, 0.024486307091206843], [-0.0011840232053362857, 0.0025644634243163606, 0.026038701057562154]]","(1:1:6,)"
"[[0.00820782615367309, -0.012337857461164404, 0.01831735681656381], [-0.0010321640538530432, 0.0021114529308529596, 0.019070415676176275]]","(1:1:6,)"
"[[0.007632597901989624, -0.011123048542467881, 0.013095237159634196], [-0.0011932400341321018, 0.002080308715016111, 0.012575527805686978]]","(1:1:6,)"
"[[0.009397338832824613, -0.012772942112731864, 0.009074718050574162], [-0.005108644845242363, 0.006961175692647797, 0.006528876800169883]]","(1:1:6,)"
"[[0.006923163619491507, -0.009432304916727894, 0.00550084165138895], [-0.0037669032287122946, 0.005150612035861698, 0.002892543911818665]]","(1:1:6,)"
"[[0.004421549311847722, -0.006032979867336297, 0.002700338314606785], [-0.0024509152426853997, 0.0033605712012718873, 0.0014839340367549189]]","(1:1:6,)"
"[[0.009552533793198878, -0.013294650318386786, 0.009118556619975711], [-0.005012833727838247, 0.006675279289876281, 0.006526152531982333]]","(1:1:6,)"
"[[0.006853367042701506, -0.009536223507774796, 0.005632102650115074], [-0.003787415758644079, 0.005078846858301443, 0.0029560020878619643]]","(1:1:6,)"
"[[0.004273623959782638, -0.005939369365706635, 0.0028497525198348268], [-0.0025144227603682147, 0.003392984182803855, 0.0015566055718661542]]","(1:1:6,)"
"[[-0.016605408333083792, 0.023072286767515732, -0.008795581500803508], [0.011788675388095611, -0.01638333901880568, -0.004397790750402164]]","(1:1:6,)"
"[[-0.010367758573864218, 0.014456793525133486, -0.007900750951769375], [0.008555978822425144, -0.011934161727432752, -0.003950375475885038]]","(1:1:6,)"
"[[-0.004590819013151363, 0.006423365965813051, -0.006889219884229271], [0.005123161763155804, -0.007172227721475907, -0.0034446099421149247]]","(1:1:6,)"
"[[0.0067730658364129745, -0.009517289216847863, -0.005806717169693297], [-0.0034612158004756646, 0.004863626082467852, -0.0028707805830743573]]","(1:1:6,)"
"[[0.005138530235537641, -0.007246827218323925, -0.004774520706720735], [-0.002562850507837576, 0.0036144101819123396, -0.002356491756030214]]","(1:1:6,)"
"[[0.003443794276815241, -0.004874460781213261, -0.00381104961249971], [-0.0017028303370191615, 0.002410278853070241, -0.0018765656988662942]]","(1:1:6,)"
"[[0.0005945397043667446, -0.0008445285839476757, -0.0029252064818017023], [-0.0009335443373956073, 0.0013260527900382907, -0.0014118053206143425]]","(1:1:6,)"
"[[0.0003335150611389369, -0.00047547179300894734, -0.0021533658549145194], [-0.0007540936609885617, 0.0010750868132969886, -0.0010287063583160577]]","(1:1:6,)"
"[[8.039712224017452e-5, -0.00011501771662980488, -0.0014984685774882898], [-0.000572195329376006, 0.0008187594281469781, -0.0007040792040728254]]","(1:1:6,)"
"[[0.0008582266925531228, -0.0015633953471696363, -0.0027007139745909474], [-0.0007993334742151273, 0.0009630410818413178, -0.001301225404669758]]","(1:1:6,)"
"[[0.0004897622388025525, -0.000915093966064718, -0.002020968328968309], [-0.0006742142180532222, 0.000852621326282745, -0.0009639404533283168]]","(1:1:6,)"
"[[0.00015664394805751266, -0.0003400454414413132, -0.0014512213063727446], [-0.0005329294712420496, 0.0007045253825987834, -0.0006816639454948497]]","(1:1:6,)"
"[[0.0016738173572784678, -0.06185104685120362, 0.001763537182265336], [0.0034226386916493897, -0.06339747850261683, 0.0009163951757010917]]","(1:1:6,)"
"[[0.0018342834057566825, -0.0586632211272567, 0.0015951146322374056], [0.003233542999089468, -0.06003979073827512, 0.0008302615334386675]]","(1:1:6,)"
"[[0.0019377409567892527, -0.055364232586540274, 0.0014014708144491732], [0.003022026918535817, -0.056625618060300774, 0.0007315152289991395]]","(1:1:6,)"
"[[0.001470134964348967, -0.07435554964491951, 0.001208631336280183], [0.0018687382552321945, -0.07384551852195483, 0.000635393340157358]]","(1:1:6,)"
"[[0.0015416266968683342, -0.07096419912714406, 0.001006708161956112], [0.0017912503342194328, -0.07051510977845746, 0.0005324897999659617]]","(1:1:6,)"
"[[0.0015583098261003636, -0.06741471844735461, 0.0008166546281502884], [0.0016919854290472082, -0.06710526615119795, 0.0004355209997418086]]","(1:1:6,)"
"[[0.0027379787581288386, -0.08035189055472727, 0.0006535335537852006], [0.0028587348274686205, -0.08172147405870854, 0.0003537743619404222]]","(1:1:6,)"
"[[0.002576752929455749, -0.07631419896670992, 0.0004985243956455086], [0.0026149717621747367, -0.07743924259651887, 0.000274340965851949]]","(1:1:6,)"
"[[0.0023837791168082457, -0.07206872692296945, 0.000365593066993073], [0.0023631253151432862, -0.07305258699446143, 0.0002059464161549469]]","(1:1:6,)"
"[[0.0025630687836951343, -0.0768794140215523, 0.0002613205159260815], [0.002425312692855814, -0.07757641007232381, 0.00015334068938989583]]","(1:1:6,)"
"[[0.002328344845916143, -0.07287838549077134, 0.00016887066756850303], [0.0021808717509426835, -0.07340396384247642, 0.00010505409044822679]]","(1:1:6,)"
"[[0.00208466489087519, -0.06867364277441963, 9.570303816429201e-5], [0.0019394262682866075, -0.06912924948094032, 6.640854619190882e-5]]","(1:1:6,)"
"[[0.0023217567099415247, -0.0691714538160102, 4.260400022569804e-5], [0.0021744604465794605, -0.06926750161285569, 3.8159885788180074e-5]]","(1:1:6,)"
"[[0.0020670254932189055, -0.06544129371327041, 3.526346500242359e-8], [0.0019344812564066405, -0.06547772047087355, 1.4768368805065278e-5]]","(1:1:6,)"
"[[0.001817687243527759, -0.0615428654489102, -2.9985691031582164e-5], [0.0017038213132753786, -0.06160344099770935, -2.34929437727394e-6]]","(1:1:6,)"
"[[0.0019390372696880987, -0.05951971387634573, -4.876861259230693e-5], [0.0018345556457402164, -0.05935885930006506, -1.3917071578534965e-5]]","(1:1:6,)"
"[[0.0017074922303186846, -0.0562209205025883, -6.083029313918731e-5], [0.0016226735785377945, -0.05606683525020803, -2.2041334070901365e-5]]","(1:1:6,)"
"[[0.0014874135838102288, -0.052794037732049055, -6.647827346623822e-5], [0.0014221768750759198, -0.05271045563414194, -2.695876499677646e-5]]","(1:1:6,)"
"[[0.0015456119108207202, -0.049494536089081775, -6.713712087964846e-5], [0.001489681514076683, -0.049276624692265646, -2.9458167469002192e-5]]","(1:1:6,)"
"[[0.0013548029860861756, -0.04670259702078743, -6.465722073076246e-5], [0.001314628915614338, -0.046519373046879024, -3.0273413879506354e-5]]","(1:1:6,)"
"[[0.0011761308747495719, -0.04381592058605314, -5.9832830783141824e-5], [0.0011503288015805553, -0.043714495095144044, -2.9916415390636536e-5]]","(1:1:6,)"
"[[0.0012007360852676347, -0.04005676725602054, -5.36887404247018e-5], [0.001180270716969602, -0.03987093419070725, -2.6844370212907557e-5]]","(1:1:6,)"
"[[0.0010524107107516055, -0.03777715820489669, -4.663232788746167e-5], [0.0010416782042442056, -0.037629946722997014, -2.3316163943912765e-5]]","(1:1:6,)"
