blocks,axes
"[[6000.0, -8000.0, -3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1:1:12,)"
"[[6000.0, -8000.0, -3000.0, -49.989370666602944, 50.00000000000356, 48.011189771506885], [0.0, 0.0, 0.0, -27.11918815338255, 31.62270038385187, 19.46946273299274]]","(1:1:12,)"
"[[5750.053146666985, -7749.999999999982, -2759.9440511424655, -99.80691023612573, 100.1717945680945, 78.21308868180256], [-135.59594076691275, 158.11350191925936, 97.34731366496369, -39.76557402072025, 45.158935311114334, 30.53816852537149]]","(1:1:12,)"
"[[5251.018595486356, -7249.14102715951, -2368.8786077334526, -147.30323039630375, 150.51479318575434, 94.17716988177935], [-334.423810870514, 383.90817847483106, 250.0381562918211, -41.72576642879194, 45.465018600541406, 34.99187776108187]]","(1:1:12,)"
"[[4514.502443504838, -6496.567061230738, -1897.9927583245558, -169.42583154665638, 190.52696945632565, 99.6689815545159], [-543.0526430144737, 611.2332714775381, 424.99754509723044, -37.350545812440046, 37.246135997083, 34.71544040152882]]","(1:1:12,)"
"[[3667.3732857715563, -5543.93221394911, -1399.6478505519763, -172.659653873079, 200.00000000028467, 96.80600651503299], [-729.8053720766738, 797.4639514629531, 598.5747471048745, -28.465423697650735, 24.917567470451363, 30.765218175006808]]","(1:1:12,)"
"[[2804.075016406161, -4543.932213947686, -915.6178179768112, -162.63885925161964, 199.99999999927203, 88.08603526239828], [-872.1324905649276, 922.0517888152099, 752.4008379799086, -17.833115340926078, 12.42106288908359, 24.39012120233678]]","(1:1:12,)"
"[[1990.880720148063, -3543.932213951326, -475.1876416648198, -144.59865059343684, 190.42562785804265, 76.33721307949041], [-961.298067269558, 984.1571032606278, 874.3514439915925, -7.740386546088393, 3.168579347874447, 16.21674196125102]]","(1:1:12,)"
"[[1267.8874671808787, -2591.8040746611127, -93.50157626736774, -121.74221928834808, 170.47027155415495, 62.5154045777566], [-1000.0, 1000.0, 955.4351537978476, 0.0, -4.440892098500626e-16, 8.129362453393849]]","(1:1:12,)"
"[[659.1763707391383, -1739.452716890338, 219.07544662141527, -96.95974487562518, 144.60023351371174, 47.931844082666956], [-1000.0, 1000.0, 996.0819660648169, 5.773954472435287, -3.5537509743801974, 0.7836067870366907]]","(1:1:12,)"
"[[174.3776463610124, -1016.4515493217793, 458.73466703475003, -72.03737590803843, 115.60711391346466, 34.33652679824723], [-971.1302276378235, 982.231245128099, 1000.0000000000003, 12.311021540353533, -9.728963184606945, -4.590866536081757]]","(1:1:12,)"
"[[-185.80923317917973, -438.4159797544561, 630.4173010259861, -48.918280014245816, 86.86596318239377, 21.59508014291137], [-909.5751199360559, 933.5864292050643, 977.0456673195915, 18.30402232100611, -16.221195959622698, -9.617409856902732]]","(1:1:12,)"
"[[-430.4006332504088, -4.086163842487224, 738.392701740543, -28.49877222977645, 60.10686170442342, 10.140844247293398], [-818.0550083310254, 852.4804494069508, 928.9586180350778, 23.30158377474532, -22.167761207122858, -14.079361048871606]]","(1:1:12,)"
"[[-572.894494399291, 296.4481446796299, 789.09692297701, -10.439976459176556, 35.22598834368053, 0.5368077309057835], [-701.5470894572989, 741.6416433713365, 858.5618127907198, 27.869937453405836, -28.216642171308226, -17.528839373069953]]","(1:1:12,)"
