blocks,axes
"[[-0.8027032406538368, 0.9899561359417616, 0.7832810198581552], [0.1410614033046586, -0.21956193193485135, 0.005640083804473457]]","(1:1:6,)"
"[[0.5378421168684678, -0.5678120211036793, -0.3288611893891085], [0.46475751299539214, -0.5832480378021216, -0.314711554679119]]","(1:1:6,)"
"[[0.9035986572719328, -1.0274078589111433, -0.8740000014549444], [0.20848083383609806, -0.15496985580877817, -0.35156867929846825]]","(1:1:6,)"
"[[-10.000000124145314, 9.999999632305782, 9.657947380242662], [-6.038202784249753, 6.857419828359861, 4.078436214040896]]","(1:1:6,)"
"[[-10.0000001066434, 9.999999715673129, 6.1177394906737925], [-2.9831780440611397, 3.126211079406061, 2.3917207258550826]]","(1:1:6,)"
"[[-9.881266047249628, 9.999999797198907, 3.285779226951306], [-0.6794551283900898, 0.36182164719373877, 1.0591307741944835]]","(1:1:6,)"
"[[-4.937486350394139, 8.186174348251694, 1.1997061561181874], [0.9251705807470277, -1.4659034693724475, 0.09987735927257432]]","(1:1:6,)"
"[[-1.0507604154346157, 2.10235855427264, -0.46689242529093966], [1.853935428673305, -2.416907138793558, -0.6500942852303656]]","(1:1:6,)"
"[[1.7040480881552047, -0.11987485416651701, -1.6389823292034316], [2.2200024065154254, -2.5826977619250115, -1.1528106068284723]]","(1:1:6,)"
"[[3.3919476250811345, -2.0607993231682125, -2.2875406381803463], [2.1159527075474576, -2.069152499358695, -1.5034652978556466]]","(1:1:6,)"
"[[4.425170675826203, -4.11207490270157, -2.7185507867714427], [1.6352091901055203, -0.9904767342542551, -1.5508742362075143]]","(1:1:6,)"
"[[4.86781989677733, -5.269596778240776, -2.8889334064632335], [1.1322851347176393, -0.7183405130160424, -1.467969340716016]]","(1:1:6,)"
"[[4.944719003871059, -5.870712990761907, -2.6863431804322135], [1.3078312411636936, -1.2354906673349912, -1.1160448550591473]]","(1:1:6,)"
"[[4.618653396298244, -5.797816308807387, -2.5365179810737253], [1.2122903269797138, -1.2915685976232814, -1.0537470291892677]]","(1:1:6,)"
"[[4.103724671766895, -5.381831774583624, -2.2976482007779255], [1.0219899608901426, -1.1763334190399029, -0.9469275089691129]]","(1:1:6,)"
"[[3.654068534111867, -4.989150482129216, -1.9237506761821015], [0.9471199356582329, -1.1911043107111516, -0.7296575960538749]]","(1:1:6,)"
"[[2.9506036872151973, -4.178350937994049, -1.608865184985231], [0.6464814321861156, -0.8592486144562558, -0.5851123822598581]]","(1:1:6,)"
"[[2.2630466454510967, -3.334022882770781, -1.2958621863592192], [0.35353659649747543, -0.5108033588152249, -0.4415090242315425]]","(1:1:6,)"
"[[1.7361664072726484, -2.585325794191733, -0.9676674199054647], [0.17255742001963637, -0.19251015081046424, -0.27094754003263843]]","(1:1:6,)"
"[[1.1400204066760458, -1.807846588970516, -0.691363013517566], [-0.07753793706700055, 0.11254848575556405, -0.14461917994033133]]","(1:1:6,)"
"[[0.630087180946217, -1.1229525931355941, -0.4502707468729729], [-0.28482036319376863, 0.371150645106027, -0.035897448462172535]]","(1:1:6,)"
"[[0.24874552227833566, -0.5899074034247176, -0.238938125798809], [-0.43367640303815547, 0.5588821421509726, 0.06439893352755983]]","(1:1:6,)"
"[[-0.09373272848264308, -0.1056676635638348, -0.06450633975209669], [-0.5539509898762076, 0.7128560223092258, 0.14140267260037104]]","(1:1:6,)"
"[[-0.35107445910798973, 0.26858787549446556, 0.07276078836364182], [-0.6319648823013293, 0.8116637132016614, 0.19982360012649633]]","(1:1:6,)"
"[[-0.5168287122164523, 0.5228713308509823, 0.17346283954338942], [-0.6692008823165349, 0.8593876963054514, 0.23985628874379006]]","(1:1:6,)"
"[[-0.6361695275930918, 0.7108779140023433, 0.25383727643003506], [-0.6764792333306613, 0.8600934351068583, 0.27153884750741103]]","(1:1:6,)"
"[[-0.6985881839388755, 0.8197546776015213, 0.3073417385349994], [-0.6556204615607876, 0.8210553257574471, 0.28978601698761464]]","(1:1:6,)"
"[[-0.7116435799914812, 0.8592081576922941, 0.3317958173561639], [-0.610578850143327, 0.7492287238929115, 0.2902951074735933]]","(1:1:6,)"
"[[-0.6941714253946011, 0.8543988181061131, 0.349947150754867], [-0.550384223705154, 0.651546562469847, 0.2924616688919677]]","(1:1:6,)"
"[[-0.650456061092121, 0.8116495255294377, 0.35300157278233324], [-0.47739737686908684, 0.5347187129423169, 0.28707944813098607]]","(1:1:6,)"
"[[-0.5898174092054054, 0.7438327539668366, 0.33656368737897707], [-0.3959481930248591, 0.4048136315623725, 0.26739275675821694]]","(1:1:6,)"
"[[-0.5179620080886086, 0.659563480714382, 0.3236269272356155], [-0.3095007482553825, 0.3297817403571907, 0.255419688964337]]","(1:1:6,)"
"[[-0.4421753330084267, 0.5683356057927168, 0.3044044146124132], [-0.22108766650421352, 0.2841678028963582, 0.2403034848033574]]","(1:1:6,)"
"[[-0.36955011832707196, 0.47927906449270813, 0.2726943818300782], [-0.18477505916352716, 0.23963953224634402, 0.21392120654608984]]","(1:1:6,)"
