blocks,axes
"[[-10.0, 10.0, 9.667110438921199], [-5.4682525762861145, 6.304450454203018, 3.914411949268079]]","(1:1:6,)"
"[[-10.0, 10.0, 6.078663213492881], [-2.560440767835659, 2.6856992740786363, 2.222309737732488]]","(1:1:6,)"
"[[-9.812616575119698, 10.0, 3.2100469416556354], [-0.40837011170766924, 0.04242264077892124, 0.8901251137960288]]","(1:1:6,)"
"[[-4.659105809324116, 7.860450875644419, 1.1003921501072331], [0.886939096885965, -1.6581690186574751, -0.0681508214216715]]","(1:1:6,)"
"[[-0.8406570029264024, 1.816784098253784, -0.581839626730561], [1.785631972627824, -2.477254606943988, -0.803943103618551]]","(1:1:6,)"
"[[1.8532531115246837, -0.12016198981398574, -1.760726434075822], [2.125280245865781, -2.5104702627949687, -1.2880616973016514]]","(1:1:6,)"
"[[3.4918676910759063, -2.1488600736123082, -2.3663983684734626], [1.9998089615391634, -1.8656013710431754, -1.6452954396341777]]","(1:1:6,)"
"[[4.482704567877984, -4.166402315183377, -2.7820130491333144], [1.5032103306322118, -0.6585419842915783, -1.6245530012451523]]","(1:1:6,)"
"[[4.893108648523425, -5.297589215478704, -2.9336451214497203], [1.1555451128082663, -0.7384480471327143, -1.4718192439312352]]","(1:1:6,)"
"[[4.947925265104797, -5.880692493942321, -2.736838865734323], [1.3194628047013286, -1.246618545588657, -1.0753456962418089]]","(1:1:6,)"
"[[4.6053326464975015, -5.793224798781915, -2.5630104712275816], [1.2150909646740145, -1.295086313861695, -1.0047090142463375]]","(1:1:6,)"
"[[4.079820773114507, -5.367350629138412, -2.302246195682694], [1.0189328050258015, -1.1745797162750407, -0.8906051609351232]]","(1:1:6,)"
"[[3.6240000787568425, -4.967311954160998, -1.9314484462554358], [0.9400132205312978, -1.1841390467101363, -0.6894625529337379]]","(1:1:6,)"
"[[2.9183316225367215, -4.153733815114686, -1.5973558787740858], [0.6378298490808093, -0.8508435531440977, -0.5377600308126995]]","(1:1:6,)"
"[[2.2311708194625446, -3.308884346047938, -1.2688455800881744], [0.3446403105724597, -0.5020855689133874, -0.38884936816764676]]","(1:1:6,)"
"[[1.7055041699317086, -2.5622550587599107, -0.9464799210643596], [0.16332578807288703, -0.186027185064394, -0.23236614094065794]]","(1:1:6,)"
"[[1.1129159882758268, -1.7866683921670672, -0.6590884158509945], [-0.08534892590336045, 0.1184671204595952, -0.10204868459066718]]","(1:1:6,)"
"[[0.6071225031293304, -1.1043237787748346, -0.41011907674090786], [-0.2909183836127473, 0.3761777533976739, 0.0090570565086125]]","(1:1:6,)"
"[[0.22965543451074608, -0.5724480289331688, -0.2072980071711621], [-0.43826669658091816, 0.5663250930754015, 0.09684444341999934]]","(1:1:6,)"
"[[-0.10847866244483784, -0.09187436294660502, -0.028443998436307436], [-0.5567186968803112, 0.7180289042725753, 0.17513590497038364]]","(1:1:6,)"
"[[-0.3618165356958453, 0.27885986475425933, 0.11116098857980761], [-0.633081611067561, 0.8146401135463873, 0.23380232944492785]]","(1:1:6,)"
