blocks,axes
"[[6000.0, -8000.0, -3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1:1:12,)"
"[[6000.0, -8000.0, -3000.0, -49.989370666666666, 50.0, 48.33732375016155], [0.0, 0.0, 0.0, -27.341262881430573, 31.52225227101509, 19.572059746340397]]","(1:1:12,)"
"[[5750.053146666667, -7750.0, -2758.3133812491924, -99.80691023624689, 100.17179456808627, 78.73241137318152], [-136.70631440715286, 157.61126135507544, 97.86029873170199, -40.0351366568016, 45.04471022534117, 30.68360843500284]]","(1:1:12,)"
"[[5251.018595485432, -7249.141027159569, -2364.6513243832846, -148.51555398609366, 150.5147931857403, 94.78427491659119], [-336.88199769116085, 382.8348124817813, 251.27834090671618, -41.922427758651494, 45.39440905831064, 35.134176215664354]]","(1:1:12,)"
"[[4508.440825554964, -6496.567061230868, -1890.7299498003288, -171.2845181207322, 190.327439375479, 100.28763203752425], [-546.4941364844183, 609.8068577733345, 426.949221985038, -37.33232565719465, 37.24763550010918, 34.793273724042386]]","(1:1:12,)"
"[[3652.0182349513034, -5544.929864353473, -1389.2917896127076, -174.82573272770202, 200.00000000000003, 97.37955041492032], [-733.1557647703916, 796.0450352738804, 600.9155906052499, -28.277127897341913, 24.989659554878518, 30.77330608452758]]","(1:1:12,)"
"[[2777.889571312793, -4544.929864353473, -902.394037538106, -164.86567302853973, 200.00000000000088, 88.57673864707058], [-874.5414042571011, 920.993333048273, 754.7821210278878, -17.56614548183855, 12.534486039084747, 24.332642746235003]]","(1:1:12,)"
"[[1953.5612061700945, -3544.9298643534685, -459.5103443027531, -146.71408899911168, 189.82228062130707, 76.74527968509344], [-962.3721316662939, 983.6657632436968, 876.4453347590628, -7.525573683075798, 3.266847384863354, 16.1057198352442]]","(1:1:12,)"
"[[1219.9907611745361, -2595.818461246933, -75.78394587728587, -123.64475790290172, 169.49446990280526, 62.83548578879463], [-1000.0000000816729, 1000.0000001680136, 956.9739339352839, -6.208004776908638e-9, 1.5048815971141494e-8, 7.982437271817794]]","(1:1:12,)"
"[[601.7669716600276, -1748.3461117329068, 238.39348306668728, -98.59456496460427, 143.43144411340057, 48.16730493336947], [-1000.0000001127129, 1000.0000002432577, 996.8861202943729, 5.775954002329343, -3.692240220593421, 0.6227759413318896]]","(1:1:12,)"
"[[108.79414683700622, -1031.188891165904, 479.23000773353465, -73.36095292748456, 114.36681388898151, 34.48296982893141], [-971.1202301010661, 981.5387991402905, 1000.0000000010323, 12.358807636524007, -9.945182718795525, -4.754541219592042]]","(1:1:12,)"
"[[-258.0106178004166, -459.35482172099637, 651.6448568781917, -49.94106145810535, 85.65280375556864, 21.667634478599307], [-909.326191918446, 931.8128855463128, 976.2272939030721, 18.39836423330942, -16.46308683760128, -9.77867680934225]]","(1:1:12,)"
"[[-507.71592509094336, -31.090802943153165, 759.9830292711882, -29.248058367919214, 58.98767915747672, 10.156018691830354], [-817.334370751899, 849.4974513583064, 927.3339098563608, 23.43483993111664, -22.399213641192592, -14.2322790943132]]","(1:1:12,)"
"[[-653.9562169305394, 263.8475928442304, 810.76312273034, -10.92623906861851, 34.25163390581188, 0.49832767650063126], [-700.1601710963157, 737.5013831523435, 856.1725143847948, 28.05648045145109, -28.400445559851445, -17.680139466828507]]","(1:1:12,)"
"[[-708.587412273632, 435.1057623732898, 813.2547611128432, 3.7819704409166714, 13.520514183162241, -7.4889304880079015], [-559.8777688390603, 595.4991553530863, 767.7718170506523, 31.1467877298484, -32.75108284189907, -20.369445206616795]]","(1:1:12,)"
"[[-689.6775600690487, 502.708333289101, 775.8101086728037, 14.983034131967893, -3.0369047496776727, -13.833638630445485], [-404.14383018981835, 431.7437411435909, 665.9245910175683, 32.75644433822904, -35.36855042059277, -22.314145430930992]]","(1:1:12,)"
"[[-614.7623894092093, 487.52380954071265, 706.6419155205763, 23.49889648601567, -15.899671067328816, -18.566496366003307], [-240.36160849867315, 254.90098904062705, 554.3538638629134, 33.45080897892332, -36.41125786126051, -23.476369376437212]]","(1:1:12,)"
"[[-497.26790697913094, 408.0254542040686, 613.8094336905598, 29.00774618321225, -24.913769851434402, -21.862355730395354], [-73.10756360405657, 72.84469973432451, 436.9720169807273, 32.898506807771696, -35.93388004306807, -23.986940155612974]]","(1:1:12,)"
"[[-352.22917606306964, 283.45660494689656, 504.49765503858305, 31.956858553013078, -30.535077402321896, -23.91331357993733], [91.38497043480191, -106.82470048101587, 317.0373162026624, 31.320294214990053, -34.1660510064254, -23.94191291313801]]","(1:1:12,)"
"[[-192.44488329800424, 130.7812179352871, 384.9310871388964, 32.999574215019926, -33.507141188279746, -24.95010153100099], [247.98644150975218, -277.65495551314285, 197.32775163697232, 29.01170682508663, -31.442061551369022, -23.457877912444292]]","(1:1:12,)"
"[[-27.44701222290462, -36.75448800611164, 260.1805794838914, 32.34168859938135, -34.07992006382781, -25.092548832117835], [393.0449756351853, -434.86526326998796, 80.03836207475086, 26.120498183822615, -27.951619298248236, -22.582314913283934]]","(1:1:12,)"
"[[134.26143077400212, -207.15408832525068, 134.7178353233022, 30.415437495931428, -32.79676689672969, -24.53689753066914], [523.6474665542984, -574.6233597612292, -32.87321249166881, 22.859727281307777, -23.968185007703706, -21.413350530194293]]","(1:1:12,)"
"[[286.33861825365926, -371.13792280889913, 12.033347669956513, 27.68229796201674, -30.25072119342289, -23.52467442929926], [637.9461029608373, -694.4642847997477, -139.9399651426403, 19.43600561644933, -19.745181752364047, -20.097230470054715]]","(1:1:12,)"
"[[424.75010806374297, -522.3915287760136, -105.5900244765398, 24.376364504297296, -26.769925942222795, -22.108171375288908], [735.1261310430839, -793.190193561568, -240.42611749291387, 15.995303296304163, -15.51613049127984, -18.623928570209753]]","(1:1:12,)"
"[[546.6319305852295, -656.2411584871276, -216.13088135298432, 20.78259907897635, -22.745783443604594, -20.427004730165145], [815.1026475246047, -870.7708460179672, -333.5457603439626, 12.676871507026682, -11.4785434768631, -17.063257528846577]]","(1:1:12,)"
"[[650.5449259801112, -769.9700757051505, -318.2659050038101, 17.14650215292652, -18.521545184028504, -18.666594857599147], [878.4870050597381, -928.1635634022826, -418.8620479881955, 9.599386114926036, -7.795561498405579, -15.542104892937978]]","(1:1:12,)"
"[[736.2774367447438, -862.577801625293, -411.5988792918058, 13.61949034347767, -14.316681162526598, -16.821296464843723], [926.4839356343682, -967.1413708943105, -496.5725724528854, 6.836378794718708, -4.596057422209757, -14.014079049611231]]","(1:1:12,)"
"[[804.3748884621322, -934.161207437926, -495.70536161602445, 10.330445125800452, -10.318937533732957, -14.96839969417041], [960.6658296079618, -990.1216580053593, -566.6429677009415, 4.448998120908961, -1.975666623787867, -12.517828644345784]]","(1:1:12,)"
"[[856.0271140911344, -985.7558951065907, -570.5473600868766, 7.361226706736563, -6.652201988705269, -13.232099314517505], [982.9108202125066, -999.9999911242986, -629.2321109226705, 2.476585623977389, -1.7758504249343332e-6, -11.151084333479336]]","(1:1:12,)"
