blocks,axes
"[[6000.0, -8000.0, -3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1:1:12,)"
"[[6000.0, -8000.0, -3000.0, -4.002886869935851, 4.949780679708808, 3.9181766548463317], [0.0, 0.0, 0.0, 0.7053070165232931, -1.0978096596742568, 0.028200419022367286]]","(1:1:12,)"
"[[5979.9855656503205, -7975.251096601456, -2980.4091167257684, -1.286036427369547, 2.12447698303789, 2.2756422634563447], [3.5265350826164656, -5.489048298371284, 0.14100209511183642, 3.0253218247359754, -4.0164737222535045, -1.5453573543732277]]","(1:1:12,)"
"[[5973.555383513472, -7964.628711686267, -2969.030905408487, 3.2498517598556917, -3.008142690513666, -2.0925977570421894], [18.653144206296343, -25.571416909638806, -7.585784676754303, 4.0539291396470105, -4.801719888661073, -3.3032008341299175]]","(1:1:12,)"
"[[5989.804642312751, -7979.669425138835, -2979.493894193698, -46.74990422481887, 46.980686959149956, 46.19889241190282], [38.9227899045314, -49.58001635294417, -24.10178884740389, -26.153553432447918, 29.471447431306707, 17.088984715620892]]","(1:1:12,)"
"[[5756.055121188657, -7744.765990343086, -2748.4994321341837, -96.5778386267038, 97.14134728414831, 76.78934931159212], [-91.84497725770818, 97.77722080358936, 61.34313473070058, -40.96809247597199, 45.19238270391713, 29.04760257744895]]","(1:1:12,)"
"[[5273.165928055138, -7259.059253922344, -2364.552685576223, -145.64013360599813, 147.4732477894521, 93.21986848616146], [-296.68543963756815, 323.739134323175, 206.5811476179453, -44.21022169240288, 47.142282785399516, 34.34322022416433]]","(1:1:12,)"
"[[4544.965260025147, -6521.693014975084, -1898.453343145416, -169.8114138524024, 188.90462960945723, 99.21979557890124], [-517.7365480995826, 559.4505482501726, 378.29724873876694, -39.42288418000311, 39.964699256454075, 34.84248503053395]]","(1:1:12,)"
"[[3695.9081907631344, -5577.169866927798, -1402.3543652509097, -174.4079704761093, 200.00000001162155, 96.88645452430221], [-714.8509689995981, 759.274044532443, 552.5096738914367, -30.016780673335372, 28.01564511126551, 31.591790212851233]]","(1:1:12,)"
"[[2823.868338382588, -4577.16986686969, -917.9220926293987, -165.19385814025944, 199.99999999893953, 88.69237099450726], [-864.9348723662749, 899.3522700887705, 710.4686249556928, -18.821755858262716, 15.205312628722492, 25.82741091151478]]","(1:1:12,)"
