blocks,axes
"[[-10.000000000907788, 9.99999999997716, 9.999999999999861], [-9.000000001495003, 9.000000000004107, 8.999999999999861]]","(1:1:6,)"
"[[-10.000000000868033, 9.999999999983595, 9.999999999999918], [-9.00000000143217, 9.000000000013168, 8.999999999999934]]","(1:1:6,)"
"[[-10.00000000082851, 9.999999999989848, 9.999999999999973], [-9.000000001369719, 9.000000000021965, 9.000000000000007]]","(1:1:6,)"
"[[-10.00000000005383, 9.794319035141353, 9.184519985640412], [-8.999999997045354, 8.814847684994891, 6.592761915987357]]","(1:1:6,)"
"[[-0.35387936663315106, -0.1367266270186999, 0.8140037286087847], [-0.3089249512151804, -0.1230802701572088, 2.4075038178790615]]","(1:1:6,)"
"[[-0.13870820003642373, -0.13746487784186612, -6.14497593349044e-5], [-0.12292393072644542, -0.12371839033172473, 0.0002586238643732125]]","(1:1:6,)"
"[[-0.13835388905632354, -0.13746487783310848, 5.665408838374268e-5], [-0.12260505280909247, -0.12371838838033691, 0.0003649199045779645]]","(1:1:6,)"
"[[-0.13799957787105255, -0.1374648777942596, 0.00017475779828512745], [-0.122286168726148, -0.12371839139627439, 0.000471211675935608]]","(1:1:6,)"
"[[-0.13764526690141218, -0.13746487754584333, 0.0002928615160107559], [-0.12196729197600617, -0.12371838885435081, 0.0005775054508381298]]","(1:1:6,)"
"[[-0.1372909612459085, -0.13746487255097983, 0.0004109705495472683], [-0.1216485004607993, -0.1237182982055048, 0.0006838881997675351]]","(1:1:6,)"
"[[-0.1369366369962528, -0.13746488482237437, 0.000529061618899282], [-0.12132942302192322, -0.12371850055272111, 0.0007899849457768715]]","(1:1:6,)"
"[[-0.13658233771896014, -0.1374648737884921, 0.0006471763955667714], [-0.12101069570593989, -0.12371834284010462, 0.000896430382065379]]","(1:1:6,)"
"[[-0.1362280191273996, -0.13746488155012596, 0.0007652728909789752], [-0.1206917158859412, -0.12371844796066303, 0.0010026230530159397]]","(1:1:6,)"
"[[-0.13587371460904268, -0.13746487351617617, 0.000883383677333508], [-0.12037294469770296, -0.12371833239606286, 0.001109027320249364]]","(1:1:6,)"
"[[-0.1355193985866107, -0.13746487983230632, 0.0010014816940114597], [-0.12005398634871574, -0.12371841559384614, 0.0012152404551378482]]","(1:1:6,)"
"[[-0.13516508955604373, -0.13746487749350844, 0.001119587801819433], [-0.11973513279020812, -0.12371838873555861, 0.0013215642001242597]]","(1:1:6,)"
"[[-0.13481077792701657, -0.13746487771268862, 0.0012376907920262732], [-0.11941625040302495, -0.12371838874568702, 0.0014278472607957527]]","(1:1:6,)"
"[[-0.13445646687515972, -0.1374648778074637, 0.0013557949578411762], [-0.11909736993382972, -0.12371839193969092, 0.0015341463807785052]]","(1:1:6,)"
"[[-0.13410215604770453, -0.1374648772028252, 0.0014738976228437061], [-0.11877849784236136, -0.12371838292895872, 0.0016404165911711565]]","(1:1:6,)"
"[[-0.13374784427883432, -0.137464878135592, 0.001592004105243874], [-0.11845960372592318, -0.12371839648178828, 0.0017467609918255123]]","(1:1:6,)"
"[[-0.13339353376962318, -0.13746487748618183, 0.0017101048020570079], [-0.1181407327514426, -0.12371838798662761, 0.0018530115460318713]]","(1:1:6,)"
"[[-0.13303922282897435, -0.1374648772937954, 0.001828211075593094], [-0.11782185743493181, -0.12371838343599885, 0.0019593448717169152]]","(1:1:6,)"
"[[-0.13268491089912637, -0.1374648781575964, 0.0019463129505821386], [-0.11750296225932284, -0.12371839673755285, 0.0020656020499170554]]","(1:1:6,)"
"[[-0.13233060034197686, -0.13746487744383015, 0.002064415414533328], [-0.11718409378111376, -0.12371838856714425, 0.002171877991577293]]","(1:1:6,)"
"[[-0.13197628946070974, -0.13746487680933092, 0.0021825345459984247], [-0.11686521684997384, -0.1237183839559607, 0.0022784282001724024]]","(1:1:6,)"
"[[-0.1316219774637802, -0.13746487871811103, 0.002300613890229266], [-0.11654632286199955, -0.12371839750082698, 0.002384206371731124]]","(1:1:6,)"
"[[-0.13126766718106248, -0.13746487739676064, -0.36583641499354136], [-0.11622745305106937, -0.12371838778386592, -0.18291820749655094]]","(1:1:6,)"
"[[-0.13091335612180383, -0.13746487733125112, -0.6067659074001778], [-0.11590857680472094, -0.12371838474103056, -0.30338295369998386]]","(1:1:6,)"
"[[-0.13055904408723365, -0.13746487822839118, -0.7654761533562651], [-0.11558968195345407, -0.12371839700735895, -0.38273807667803544]]","(1:1:6,)"
"[[-0.13020473353202017, -0.13746487748977917, -0.8424740641689581], [-0.11527081378494021, -0.12371838805031991, -0.4212370320843895]]","(1:1:6,)"
"[[-0.12985042296215232, -0.13746487730968088, -0.8541253952757035], [-0.11495193669296827, -0.12371838469767674, -0.4270626976376276]]","(1:1:6,)"
"[[-0.1294961107641995, -0.13746487822767628, -0.8258981566045877], [-0.11463304201665944, -0.12371839704477418, -0.41294907830208666]]","(1:1:6,)"
"[[-0.12914180021410473, -0.1374648774896385, -0.7667338579061106], [-0.1143141737470087, -0.12371838801077456, -0.3833669289528634]]","(1:1:6,)"
"[[-0.1287874900649053, -0.13746487730008145, -0.6898209698597738], [-0.11399530281476579, -0.12371838470012719, -0.34491048492967497]]","(1:1:6,)"
"[[-0.1284331769274421, -0.13746487822630984, -0.6006959240049473], [-0.11367639442160733, -0.12371839708088876, -0.30034796200227915]]","(1:1:6,)"
"[[-0.1280788671700301, -0.137464877488468, -0.5087489348788116], [-0.1133575370089132, -0.12371838796281502, -0.2543744674392295]]","(1:1:6,)"
"[[-0.12772455719225778, -0.13746487728871437, -0.4220354076623324], [-0.11303866724326196, -0.12371838462169826, -0.2110177038308924]]","(1:1:6,)"
