blocks,axes
"[[6000.0, -8000.0, -3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1:1:12,)"
"[[6000.0, -8000.0, -3000.0, -49.989370671205606, 49.9999999998858, 50.00177155555486], [0.0, 0.0, 0.0, -45.000000007475016, 45.000000000020535, 44.999999999999304]]","(1:1:12,)"
"[[5750.053146643972, -7750.000000000571, -2749.991142222226, -99.8069102451264, 100.17179456790564, 100.00354311111], [-225.0000000373751, 225.00000000010266, 224.99999999999653, -89.845352027258, 90.15464798748985, 89.99999999999898]]","(1:1:12,)"
"[[5251.01859541834, -7249.141027161043, -2249.9734266666756, -149.4524711235179, 150.51479318553942, 150.00516703180512], [-674.2267601736651, 675.7732399375519, 674.9999999999914, -134.53592319268404, 135.46341249573888, 134.99986713333234]]","(1:1:12,)"
"[[4503.75623980075, -6496.567061233346, -1499.94759150765, -198.92590621180588, 200.00000000275483, 195.9290956109818], [-1346.9063761370853, 1353.0903024162462, 1349.9993356666532, -179.0715810723892, 180.00000002630802, 167.96327811326913]]","(1:1:12,)"
"[[3509.126708741721, -5496.567061219572, -520.3021134527411, -200.00000000222894, 200.00000000172707, 200.00000000085532], [-2242.2642814990313, 2253.0903025477865, 2189.8157262329987, -179.99999999833702, 180.00000000017536, 180.00000000305675]]","(1:1:12,)"
"[[2509.126708730576, -4496.567061210936, 479.6978865515356, -200.0000000011434, 200.00000000087113, 200.00000000009186], [-3142.2642814907163, 3153.090302548663, 3089.8157262482828, -179.9999999982024, 179.99999999802216, 179.99999999564014]]","(1:1:12,)"
"[[1509.1267087248589, -3496.5670612065805, 1479.697886551995, -200.00000000071586, 200.00000000005522, 200.00000000004846], [-4042.264281481728, 4053.0903025387743, 3989.8157262264835, -180.00000000848843, 180.00000000562545, 180.00000000175785]]","(1:1:12,)"
"[[509.12670872127956, -2496.5670612063045, 2479.6978865522374, -199.99999999992033, 199.9999999994321, 200.00000000003604], [-4942.264281524171, 4953.090302566901, 4889.815726235272, -179.99999999833358, 179.99999999818442, 180.00000000006574]]","(1:1:12,)"
"[[-490.8732912783221, -1496.567061209144, 3479.6978865524175, -199.9999999998343, 200.00000000004835, 200.00000000009376], [-5842.264281515839, 5853.090302557824, 5789.815726235601, -180.00000000445365, 180.0000000034181, 180.00000000058145]]","(1:1:12,)"
"[[-1490.8732912774935, -496.56706120890226, 4479.697886552886, -200.0000000270242, 200.0000000256386, 200.00000002680065], [-6742.264281538107, 6753.090302574914, 6689.815726238508, -180.00000045297972, 180.00000046191704, 180.00000044817514]]","(1:1:12,)"
"[[-2490.873291412615, 503.4329389192908, 5479.697886686889, -199.99999998843342, 199.99999998996532, 199.99999999033577], [-7642.264283803005, 7653.090304884499, 7589.815728479384, -179.99999991273575, 179.99999991022128, 179.9999999128322]]","(1:1:12,)"
"[[-3490.873291354782, 1503.4329388691174, 6479.697886638568, -200.00000000913457, 200.00000000932883, 200.00000000923563], [-8542.264283366683, 8553.090304435606, 8489.815728043544, -180.0000001378118, 180.000000145232, 180.00000013800275]]","(1:1:12,)"
"[[-4490.873291400455, 2503.4329389157615, 7479.697886684746, -199.9999999923668, 199.9999999899553, 199.99999999209408], [-9442.264284055742, 9453.090305161766, 9389.815728733558, -179.99999986297948, 179.99999985541345, 179.99999985986162]]","(1:1:12,)"
"[[-5490.873291362289, 3503.432938865538, 8479.697886645215, -200.0000000086295, 200.00000001069392, 200.00000001036574], [-10342.26428337064, 10353.090304438832, 10289.815728032867, -180.0000001332032, 180.0000001424734, 180.0000001363896]]","(1:1:12,)"
