blocks,axes
"[[-10.000000001008962, 9.99999999997628, 9.999999999999858], [-9.000000001657398, 9.000000000002485, 8.999999999999858]]","(1:1:6,)"
"[[-10.00000000096448, 9.999999999983045, 9.999999999999915], [-9.00000000158732, 9.000000000012086, 8.999999999999934]]","(1:1:6,)"
"[[-10.000000000920263, 9.999999999989612, 9.99999999999997], [-9.000000001517671, 9.000000000021393, 9.000000000000007]]","(1:1:6,)"
"[[-10.000000000054222, 9.794319035132471, 9.235181428966483], [-8.999999996899781, 8.81484768495841, 6.618092637647784]]","(1:1:6,)"
"[[-0.35387936635501144, -0.1367266270146349, 0.7633422852849351], [-0.30892495089224187, -0.1230802701155119, 2.3821730962145264]]","(1:1:6,)"
"[[-0.13870820002957795, -0.13746487784233444, -6.13001786979094e-5], [-0.12292393072791775, -0.12371839033596893, 0.0002586986524188603]]","(1:1:6,)"
"[[-0.13835388905528043, -0.1374648778292221, 5.680367092008955e-5], [-0.1226050529134455, -0.12371838838227861, 0.00036499471019778426]]","(1:1:6,)"
"[[-0.13799957786649347, -0.13746487779666916, 0.0001749073807660551], [-0.12228616860796003, -0.1237183913968399, 0.00047128645776692535]]","(1:1:6,)"
"[[-0.13764526690277146, -0.13746487754344547, 0.00029301109898032505], [-0.12196729204361911, -0.12371838885331224, 0.0005775802496389067]]","(1:1:6,)"
"[[-0.13729096125043355, -0.1374648726928179, 0.0004111201320731127], [-0.12164850051780635, -0.12371830071206301, 0.0006839629880345648]]","(1:1:6,)"
"[[-0.13693663698177075, -0.13746488461681558, 0.0005292112013044348], [-0.12132942290385546, -0.1237184973432552, 0.0007900597369763716]]","(1:1:6,)"
"[[-0.13658233773057227, -0.13746487390189974, 0.0006473259781419415], [-0.12101069575713776, -0.12371834430088237, 0.0008965051734682861]]","(1:1:6,)"
"[[-0.13622801912093585, -0.137464881386973, 0.0007654224743587325], [-0.12069171577714255, -0.12371844527078714, 0.0010026978491707002]]","(1:1:6,)"
"[[-0.1358737146097205, -0.1374648737111866, 0.0008835332597896708], [-0.12037294480687981, -0.12371833525099084, 0.0011091021068496043]]","(1:1:6,)"
"[[-0.13551939858919496, -0.13746487972504465, 0.001001631276892669], [-0.1200539862915072, -0.12371841436286424, 0.0012153152482302005]]","(1:1:6,)"
"[[-0.1351650892573995, -0.13746487757537765, 0.0011197377201102496], [-0.11973513257268376, -0.12371838843627095, 0.0013216385433948885]]","(1:1:6,)"
"[[-0.13481077804409297, -0.13746487765958393, 0.0012378403591667738], [-0.11941625045283966, -0.12371839047584024, 0.0014279231481334033]]","(1:1:6,)"
"[[-0.1344564668020687, -0.1374648778118161, 0.0013559445020883002], [-0.11909736995444763, -0.12371839022346548, 0.0015342206199415258]]","(1:1:6,)"
"[[-0.13410215617616722, -0.13746487719342848, 0.0014740469954850337], [-0.11877849792041767, -0.12371838314748025, 0.0016404924037107989]]","(1:1:6,)"
"[[-0.13374784427761907, -0.13746487814164868, 0.0015921535907582683], [-0.11845960373054708, -0.1237183965800718, 0.0017468343304326952]]","(1:1:6,)"
"[[-0.1333935337696795, -0.1374648774825318, 0.0017102544458283168], [-0.11814073274777968, -0.12371838793551079, 0.0018530869569880165]]","(1:1:6,)"
"[[-0.13303922292694065, -0.13746487721156994, 0.00182836053864639], [-0.11782185744678224, -0.12371838358324753, 0.0019594189761866026]]","(1:1:6,)"
"[[-0.1326849108697263, -0.1374648782428677, 0.0019464634450087211], [-0.11750296258844661, -0.12371839702748016, 0.002065683946552839]]","(1:1:6,)"
"[[-0.13233060044496864, -0.13746487744780414, 0.0020645598924398986], [-0.1171840935059246, -0.12371838824100247, 0.002171899235363293]]","(1:1:6,)"
"[[-0.13197628807177506, -0.13746487847172942, 0.002182683124037984], [-0.11686519442274632, -0.12371840762488483, 0.0022784742457879962]]","(1:1:6,)"
"[[-0.13162197944835555, -0.13746487696173507, 0.002300765836399904], [-0.11654635103793962, -0.1237183729127574, 0.0023843497329289784]]","(1:1:6,)"
"[[-0.13126766607325072, -0.13746487796660345, -0.28276867848223797], [-0.11622744052811926, -0.12371839907826443, -0.14138433924083257]]","(1:1:6,)"
"[[-0.13091335640401602, -0.13746487715087388, -0.5501277996631759], [-0.11590858490134383, -0.12371837414263721, -0.27506389983146495]]","(1:1:6,)"
"[[-0.1305590441702955, -0.13746487873984556, -0.7316105102888867], [-0.11558967608253407, -0.12371840352069745, -0.3658052551443303]]","(1:1:6,)"
"[[-0.13020473389473708, -0.1374648767696579, -0.8264480047638637], [-0.1152708177004966, -0.12371838295831689, -0.41322400238182855]]","(1:1:6,)"
"[[-0.1298504234480081, -0.1374648766948353, -0.8509499765057861], [-0.1149519483067609, -0.12371837330169787, -0.4254749882527025]]","(1:1:6,)"
"[[-0.12949610983836504, -0.13746487891236375, -0.8327343537649856], [-0.11463302688668903, -0.12371841259674707, -0.416367176882309]]","(1:1:6,)"
"[[-0.12914180129212643, -0.1374648771346218, -0.7803860563896221], [-0.11431418058756215, -0.12371838041510867, -0.3901930281946345]]","(1:1:6,)"
"[[-0.128787489206039, -0.13746487747546324, -0.7074327020386039], [-0.11399529441619825, -0.12371838732539897, -0.35371635101912585]]","(1:1:6,)"
"[[-0.12843317749823752, -0.13746487810990632, -0.6205827730363147], [-0.11367640309366414, -0.12371839528715452, -0.31029138651799415]]","(1:1:6,)"
"[[-0.12807886687183684, -0.13746487755187295, -0.5293180076815572], [-0.11335753326671189, -0.12371838876109059, -0.26465900384062785]]","(1:1:6,)"
"[[-0.12772455734543045, -0.13746487732895007, -0.44207801357776444], [-0.11303867304940603, -0.12371838508697447, -0.22103900678865657]]","(1:1:6,)"
"[[-0.12737024244575776, -0.13746487823888956, -0.355801474461777], [-0.11271974167682401, -0.12371839677863734, -0.17790073723067848]]","(1:1:6,)"
"[[-0.12701593457935634, -0.137464877453613, -0.2774602231520603], [-0.11240090216375032, -0.12371838811856395, -0.13873011157583695]]","(1:1:6,)"
"[[-0.12666162353624774, -0.1374648772033334, -0.21107575700996523], [-0.11208203351833046, -0.1237183769837236, -0.10553787850480956]]","(1:1:6,)"
"[[-0.12630730948834187, -0.13746487866456975, -0.15087937820414493], [-0.1117630937153664, -0.12371841115528978, -0.0754396891019097]]","(1:1:6,)"
"[[-0.12595300140076346, -0.1374648770490937, -0.10082151084527043], [-0.1114442680903436, -0.123718379978183, -0.050410755422482044]]","(1:1:6,)"
"[[-0.1255986864969131, -0.13746488226442216, -0.06207873981171072], [-0.11112532629098283, -0.1237184679143368, -0.031039369905735945]]","(1:1:6,)"
"[[-0.1252443813530305, -0.137464871684444, -0.029607138792510507], [-0.11080653911507427, -0.12371829541423586, -0.014803569396139383]]","(1:1:6,)"
"[[-0.12489006505118783, -0.13746488079213218, -0.005051815972103098], [-0.11048758915558567, -0.12371843184952058, -0.0025259079859400618]]","(1:1:6,)"
"[[-0.12453575599372371, -0.13746487677670918, 0.011818877432089446], [-0.11016873193608226, -0.12371838198214796, 0.0059094387160501805]]","(1:1:6,)"
"[[-0.12418144489904737, -0.13746487779312636, 0.024267938247008125], [-0.10984985050408544, -0.12371839010139737, 0.012133969123508722]]","(1:1:6,)"
"[[-0.12382713328225124, -0.1374648774888432, 0.031998695939753005], [-0.10953097083498503, -0.1237183898160913, 0.01599934796987968]]","(1:1:6,)"
"[[-0.12347282260120904, -0.13746487750269337, 0.03569575338076077], [-0.10921209063586287, -0.12371838579777139, 0.017847876690284488]]","(1:1:6,)"
"[[-0.12311851139976557, -0.1374648776201112, 0.0369832621527539], [-0.1088932115271931, -0.12371838986118457, 0.018491631076295905]]","(1:1:6,)"
"[[-0.12276420023561958, -0.13746487770808694, 0.036153662093002414], [-0.10857433029535257, -0.12371838995839889, 0.01807683104643584]]","(1:1:6,)"
"[[-0.12240988921126099, -0.13746487765690923, 0.033854260291915454], [-0.10825545090807395, -0.12371838793063417, 0.01692713014598383]]","(1:1:6,)"
"[[-0.12205557805667244, -0.13746487748931635, 0.030614440913686054], [-0.10793657157005139, -0.12371838990722545, 0.015307220456853583]]","(1:1:6,)"
"[[-0.12170126694943084, -0.1374648777868234, 0.026857387616083802], [-0.10761768801759591, -0.12371838989915726, 0.013428693808038005]]","(1:1:6,)"
"[[-0.1213469558136262, -0.13746487747116143, 0.023022392421616848], [-0.10729881243646272, -0.12371838310238488, 0.011511196211096085]]","(1:1:6,)"
"[[-0.12099264484273851, -0.13746487781043004, 0.01907417918643912], [-0.10697993008832953, -0.1237183981051141, 0.009537089593476239]]","(1:1:6,)"
"[[-0.12063833346277078, -0.13746487758879472, 0.015357404327339733], [-0.07079593764315706, -0.12371838522431045, 0.007678702163895771]]","(1:1:6,)"
"[[0.2493523966008534, -0.1374648777053029, 0.01210236860656215], [0.12797502428859706, -0.12359513365614126, 0.006051184303059141]]","(1:1:6,)"
"[[0.5395979742486718, -0.13619457697313986, 0.00907512212303215], [0.2729096369553665, -0.12278987827798708, 0.004537561061313755]]","(1:1:6,)"
"[[0.7200144816750381, -0.13392802984354543, 0.0064876905990569325], [0.3629303211272764, -0.12148762369616185, 0.003243845299346167]]","(1:1:6,)"
"[[0.8092874897761049, -0.13104266385765057, 0.004423681171477087], [0.4079120815639467, -0.1198770694080589, 0.0022118405858944897]]","(1:1:6,)"
