blocks,axes
"[[6000.0, -8000.0, -3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1:1:12,)"
"[[6000.0, -8000.0, -3000.0, -49.98937067171148, 49.9999999998814, 50.001771555554846], [0.0, 0.0, 0.0, -45.00000000828699, 45.00000000001243, 44.99999999999929]]","(1:1:12,)"
"[[5750.053146641442, -7750.000000000593, -2749.991142222226, -99.80691024611451, 100.17179456790024, 100.00354311110998], [-225.00000004143493, 225.00000000006213, 224.99999999999645, -89.84535202884577, 90.15464798747912, 89.99999999999896]]","(1:1:12,)"
"[[5251.018595410869, -7249.141027161092, -2249.973426666676, -149.4524711249648, 150.51479318553623, 150.00516703180506], [-674.2267601856638, 675.7732399374577, 674.9999999999912, -134.5359231950116, 135.46341249573075, 134.99986713333234]]","(1:1:12,)"
"[[4503.756239786046, -6496.567061233411, -1499.9475915076507, -198.92590621325473, 200.00000000271223, 196.1824028276121], [-1346.9063761607217, 1353.0903024161114, 1349.999335666653, -179.07158107398897, 180.0000000261255, 168.08993172157125]]","(1:1:12,)"
"[[3509.126708719772, -5496.567061219849, -519.0355773695902, -200.00000000228727, 200.00000000170976, 200.00000000086638], [-2242.2642815306663, 2253.0903025467387, 2190.4489942745095, -179.99999999832275, 180.00000000020682, 180.00000000303618]]","(1:1:12,)"
"[[2509.1267087083356, -4496.567061211301, 480.9644226347417, -200.0000000011676, 200.00000000085166, 200.0000000000931], [-3142.26428152228, 3153.090302547773, 3090.4489942896903, -179.99999999819545, 179.99999999803237, 179.99999999560328]]","(1:1:12,)"
"[[1509.1267087024976, -3496.5670612070426, 1480.9644226352073, -200.00000000073493, 200.00000000005528, 200.0000000000494], [-4042.264281513257, 4053.090302537935, 3990.4489942677064, -180.00000000900326, 180.0000000056259, 180.00000000179259]]","(1:1:12,)"
"[[509.126708698823, -2496.567061206766, 2480.964422635454, -199.99999999991664, 199.99999999942017, 200.0000000000364], [-4942.264281558273, 4953.090302566065, 4890.4489942766695, -179.99999999825755, 179.9999999981838, 180.0000000000531]]","(1:1:12,)"
"[[-490.87329130076023, -1496.567061209665, 3480.964422635636, -199.9999999998375, 200.00000000004837, 200.00000000009595], [-5842.264281549561, 5853.090302556983, 5790.448994276935, -180.00000000471576, 180.00000000342237, 180.0000000006063]]","(1:1:12,)"
"[[-1490.8732912999478, -496.5670612094232, 4480.964422636116, -200.00000002705008, 200.00000002492945, 200.00000002680244], [-6742.26428157314, 6753.090302574095, 6690.448994279966, -180.0000004535269, 180.0000004493894, 180.0000004481848]]","(1:1:12,)"
