blocks,axes
"[[-10.000000001008846, 9.999999999976282, 9.999999999999858], [-9.000000001657241, 9.000000000002485, 8.999999999999858]]","(1:1:6,)"
"[[-10.000000000964373, 9.999999999983046, 9.999999999999915], [-9.000000001587175, 9.000000000012086, 8.999999999999934]]","(1:1:6,)"
"[[-10.000000000920164, 9.999999999989612, 9.99999999999997], [-9.000000001517536, 9.000000000021393, 9.000000000000007]]","(1:1:6,)"
"[[-10.000000000054225, 9.794319035132435, 9.235181428966479], [-8.99999999689978, 8.814847684958394, 6.618092637647694]]","(1:1:6,)"
"[[-0.3538793663553409, -0.13672662701327987, 0.7633422852849325], [-0.30892495089267397, -0.12308027011551044, 2.3821730962144345]]","(1:1:6,)"
"[[-0.13870820002958367, -0.13746487784233444, -6.13001786922253e-5], [-0.12292393072793482, -0.12371839033596893, 0.0002586986530554669]]","(1:1:6,)"
"[[-0.1383538890552747, -0.13746487783054526, 5.680367092575709e-5], [-0.12260505291348525, -0.12371838838229565, 0.0003649947099027118]]","(1:1:6,)"
"[[-0.13799957786649347, -0.1374648777966521, 0.00017490738076605508], [-0.12228616860792027, -0.12371839139684007, 0.0004712864575681468]]","(1:1:6,)"
"[[-0.13764526690277146, -0.13746487754344547, 0.0002930110987985052], [-0.12196729204357934, -0.12371838885331221, 0.0005775802496843415]]","(1:1:6,)"
"[[-0.13729096125097756, -0.13746487296096332, 0.0004111201320674521], [-0.12164850052645682, -0.12371830509609986, 0.0006839629883509779]]","(1:1:6,)"
"[[-0.13693663697979291, -0.13746488424504605, 0.0005292112014064447], [-0.12132942287470036, -0.12371849193745303, 0.0007900597371910797]]","(1:1:6,)"
"[[-0.1365823377323121, -0.13746487409815364, 0.0006473259781362742], [-0.12101069577774982, -0.1237183466211144, 0.0008965051732422774]]","(1:1:6,)"
"[[-0.1362280191198704, -0.13746488110553956, 0.0007654224744041238], [-0.12069171576107901, -0.12371844066423714, 0.001002697848882543]]","(1:1:6,)"
